taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Psychrolutidae	Fathead sculpins	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Microcottus;Microcottus sellaris	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Gymnocanthus	""	0.81
Animalia;Chordata;Mammalia;Rodentia;Laonastidae;Laonastes;Laonastes aenigmamus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae	Eelpouts	1.63
Animalia;Chordata;Aves;Pelecaniformes;Phalacrocoracidae	""	1.63
Animalia;Chordata;Amphibia;Anura;Alsodidae	""	0.81
Animalia;Chordata;Mammalia;Carnivora	Carnivores	3.25
Animalia;Chordata;Amphibia;Anura;Dendrobatidae	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius harringtoni	Scalyhead sculpin	4.07
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus;Myoxocephalus brandtii	""	0.81
Animalia;Chordata;Mammalia;Chiroptera;Phyllostomidae	""	2.44
Animalia;Chordata;Chondrichthyes;Chimaeriformes	""	0.81
Animalia;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Maccullochella	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus	Bullheads	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus	Bullhead	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes iracundus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Opisthocentrus;Opisthocentrus tenuis	Pricklebacks	0.81
Animalia;Chordata;Mammalia;Rodentia	Rodent	3.25
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Opisthocentrus;Opisthocentrus zonope	Seaweed gunnel	1.63
Animalia;Chordata;Actinopteri;Galaxiiformes;Galaxiidae;Galaxias;Galaxias aff. paucispondylus Southland	Galaxiids	3.25
Animalia;Chordata;Aves;Apodiformes;Trochilidae;Oreotrochilus;Oreotrochilus melanogaster	""	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae	Codfishes	1.63
Animalia;Chordata;Actinopteri;Gobiiformes	Chordates	2.44
Animalia;Chordata;Mammalia;Macroscelidea;Macroscelididae;Elephantulus;Elephantulus fuscipes	Dunkelful 3 - Elefantenspitzmaus	0.81
Animalia;Chordata;Mammalia;Primates;Cebidae;Callithrix;Callithrix jacchus	""	0.81
Animalia;Chordata;Lepidosauria;Squamata	""	1.63
Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Hyloxalus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus	Cabezon	0.81
Animalia;Chordata;Amphibia;Anura;Centrolenidae;Hyalinobatrachium	""	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys	Sanddabs	4.07
Animalia;Chordata;Aves;Apodiformes;Trochilidae	""	2.44
Animalia;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma	""	0.81
Animalia;Chordata;Aves;Accipitriformes;Accipitridae	""	0.81
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Procyon;Procyon lotor	Common Raccoon	1.63
Animalia;Chordata;Mammalia;Primates;Cercopithecidae	Old World monkeys	1.63
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis nebulosa	Tidepool gunnel	1.63
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus	Common codfishes	1.63
Animalia;Chordata;Lepidosauria;Squamata;Scincidae	""	0.81
Animalia;Chordata;Aves;Galliformes;Phasianidae;Pternistis	Grouse	2.44
Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;Liparis miostomus	""	0.81
Animalia;Chordata;Aves;Tinamiformes;Tinamidae;Nothocercus;Nothocercus nigrocapillus	""	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius	Hakes	1.63
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus bachmani	""	0.81
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Prosopium	""	0.81
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	Anchovies	0.81
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	Anchovy	0.81
