File,Foraging (Y/N),Seal_Presence,Original_Date (Do Not Use for R),Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,FGS_Status,Notes,
May_08_2023_135727_548,NA,N," _May _10, _2023",5/10/23,__10:50:42 AM,,,,,,,,,,,,,00:00.0,0.00,ON,There is a predator but I think it is an adult salmon or a large fish because it is only 0.6-0.7 m,
May_08_2023_135727_549,Y,Y," _May _10, _2023",5/10/23,10:55:14 AM,55:03.3,55:13.4,,,,,,,,,,,00:10.1,10.10,ON,Very fast swim in a straight line but it goes into a school of fish that reacts strongly,
May_08_2023_135727_550,N,Y," _May _10, _2023",5/10/23,10:59:30 AM,57:48.0,58:26.7,,,,,,,,,,,00:38.7,38.70,ON,Transducer gets blocked a bit but there is a seal in the frame that is not actively chasing the seal,
May_08_2023_135727_551,Y,Y," _May _10, _2023",5/10/23,11:03:58 AM,01:14.6,02:17.4,,,,,,,,,,,01:02.8,62.80,ON,Mostly slowly floating around but ,
May_08_2023_135727_552,Y,Y," _May _10, _2023",5/10/23,11:08:24 AM,05:05.2,05:57.1,,,,,,,,,,,00:51.9,51.90,ON,Two strikes on schools of fish,
May_08_2023_135727_553,NA,N," _May _10, _2023",5/10/23,__11:12:46 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Plenty of fish activity but no Seals,
May_08_2023_135727_554,NA,N," _May _10, _2023",5/10/23,11:17:02 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Plenty of fish activity but no Seals there are fish reactions and quick direction chages ,
May_08_2023_135727_555,NA,N," _May _10, _2023",5/10/23,11:21:22 AM,,,,,,,,,,,,,00:00.0,0.00,ON,There is a  salmon that is 0.5-0.6 m but no seals,
May_08_2023_135727_556,NA,N," _May _10, _2023",5/10/23,11:25:40 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Plenty of fish activity but no Seals,
May_08_2023_135727_557,NA,N," _May _10, _2023",5/10/23,__11:29:54 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Plenty of fish activity but no Seals,
May_08_2023_135727_558,NA,N," _May _10, _2023",5/10/23,__11:34:00 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Plenty of fish activity but no Seals,
May_08_2023_135727_559,N,Y," _May _10, _2023",5/10/23,11:38:02 AM,37:03.3,37:14.8,37:44.6,37:59.7,,,,,,,,,00:26.6,26.60,ON,Two quick swims in but the second doesn't end with the end of the file,
May_08_2023_135727_560,N,Y," _May _10, _2023",5/10/23,11:41:58 AM,37:59.8,38:01.9,,,,,,,,,,,00:02.1,2.10,ON,continued from the end of the last file. There is starting to be less fish overall,
May_08_2023_135727_561,NA,N," _May _10, _2023",5/10/23,11:45:58 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Stil a lot of fish in this file. Last file was an anomoly,
May_08_2023_135727_562,NA,N," _May _10, _2023",5/10/23,11:50:00 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Darker than average file. Still fish present ,
May_08_2023_135727_563,NA,N," _May _10, _2023",5/10/23,11:54:04 AM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_564,NA,N," _May _10, _2023",5/10/23,11:58:16 AM,,,,,,,,,,,,,00:00.0,0.00,ON,Still a bit dark,
May_08_2023_135727_565,NA,N," _May _10, _2023",5/10/23,12:02:30 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_566,NA,N," _May _10, _2023",5/10/23,12:06:36 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_567,NA,N," _May _10, _2023",5/10/23,__12:10:30 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_568,NA,N," _May _10, _2023",5/10/23,12:14:18 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Large cloud moves at the transducer and darkens the FOV even more.,
May_08_2023_135727_569,NA,N," _May _10, _2023",5/10/23,12:18:30 PM,,,,,,,,,,,,,00:00.0,0.00,ON,Fish activity is still present ,
May_08_2023_135727_570,NA,N," _May _10, _2023",5/10/23,12:22:54 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_571,NA,N," _May _10, _2023",5/10/23,12:27:24 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
May_08_2023_135727_572,NA,N," _May _10, _2023",5/10/23,12:31:34 PM,,,,,,,,,,,,,00:00.0,0.00,ON,,
