taxonomic_path	common_name	% samples positive in project
Animalia;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus droebachiensis	Nothern sea urchin	8.13
Animalia;Arthropoda;Malacostraca;Decapoda	Crabs	5.69
Plantae;NA;Florideophyceae;Acrochaetiales;Acrochaetiaceae	Plants	2.44
Animalia;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Synchiropus;Synchiropus papilio	""	2.44
Animalia;Arthropoda;Insecta;Ephemeroptera;Leptohyphidae;Haplohyphes	""	4.88
Fungi;Ascomycota;Sordariomycetes;Hypocreales	""	8.13
Chromista;Eustigmatophyceae;NA;Goniochloridales;NA;Trachydiscus;Trachydiscus minutus	Chromists	2.44
NA;Phaeophyceae	""	11.38
Animalia;Arthropoda;Chilopoda;Scolopendromorpha;Scolopendridae	""	0.81
Animalia;Arthropoda;Pycnogonida	""	0.81
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	Diatoms	24.39
Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus	Calanoid Copepods	11.38
Plantae;NA;Florideophyceae;Gigartinales;Peyssonneliaceae;Peyssonnelia;Peyssonnelia sp. 10BC	""	0.81
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium circinatum	""	0.81
Animalia;Echinodermata;Holothuroidea;Apodida;Synaptidae;Leptosynapta;Leptosynapta clarki	""	2.44
Animalia;Arthropoda;Insecta;Hemiptera;Reduviidae;Euagoras	""	0.81
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Austrokallymenia;Austrokallymenia rosea	""	4.07
