Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,Region 1,Unclassified regions,OFF,25,0.403499,3821,3926,0,6/7/2023, 14:43:39.0580,999,999,530659299.6,71,87.489675,9.456949,6.1703,-8.270855,12.157,75.0127,0.403499,-9999,8.424119,13.670698,5.130234,-8.24931,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,OFF,25,0.433146,4058,4083,0,6/7/2023, 14:44:01.8680,999,999,290955514.1,20,86.037259,4.161949,1.4135,-0.673646,2.922,4.1302,0.433146,-9999,3.684169,4.448133,2.76877,-1.546769,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,0,0.097892,531,630,0,6/7/2023, 14:45:24.8610,47.854321,-122.614846,221911921.4,60,85.439092,7.074598,0.7195,0.988228,11.309,8.1369,0.378224,-9999,1.790481,2.016821,1.55047,0.202779,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,0,0.130547,2783,2898,0,6/7/2023, 14:49:44.7920,47.854321,-122.614846,1558200050,90,93.832881,15.99453,7.3907,6.769638,13.417,99.1614,0.504395,-9999,3.783549,4.444388,3.170979,0.713247,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,26,0.462079,102,120,0,6/7/2023, 14:52:45.4640,999,999,187390669.5,19,85.273905,2.793079,0.3168,0.154633,2.125,0.6731,0.462079,-9999,2.770564,2.859641,2.675786,0.183854,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,26,0.378769,414,534,0,6/7/2023, 14:53:27.1550,999,999,136476428,50,83.863775,5.258687,0.9422,-1.313548,13.603,12.8168,0.378769,-9999,4.867864,6.555096,4.125022,-2.156873,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,OFF,27,0.616002,634,673,0,6/7/2023, 15:09:53.9500,999,999,225969675.4,32,85.940033,9.016224,8.3323,-3.153788,4.5,37.4953,0.616002,-9999,8.345977,10.356812,6.948752,-1.222344,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,27,0.461621,1362,1370,0,6/7/2023, 15:11:15.8430,999,999,30088369.16,9,82.52808,2.920688,0.4059,0.069538,0.968,0.3929,0.461621,-9999,2.84984,2.865792,2.834146,-0.011487,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,27,0.387302,3090,3196,0,6/7/2023, 15:14:39.9500,999,999,129381235.1,67,84.215609,4.636885,0.8316,-2.07936,12.154,10.1078,0.387302,-9999,4.250584,6.222938,2.747643,-2.00322,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,28,0.428761,3129,3194,0,6/7/2023, 15:22:27.4690,999,999,310534881.8,39,85.461581,6.287176,4.417,-3.168624,7.273,32.1251,0.428761,-9999,5.969102,7.722706,3.661763,-2.166562,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,29,0.476863,1696,1707,0,6/7/2023, 15:27:24.2450,999,999,125356215.1,12,85.761202,2.375513,0.6099,-0.65014,1.25,0.7624,0.476863,-9999,2.367185,2.706635,2.060418,-0.646218,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,29,0.353156,1421,1452,0,6/7/2023, 15:26:53.5730,999,999,86725931.26,24,83.777887,8.290279,2.452,0.412819,3.685,9.0358,0.353156,-9999,6.880184,7.650534,5.91596,-0.737287,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,OFF,30,0.402139,9,49,0,6/7/2023, 15:31:47.5230,999,999,86697811.88,32,84.676242,6.546421,1.8053,0.746974,4.512,8.1454,0.402139,-9999,6.028782,6.83714,5.250835,0.662207,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,30,0.612691,592,620,0,6/7/2023, 15:32:54.1430,999,999,183198036,26,84.556428,7.269047,1.9513,-4.068602,3.216,6.2754,0.612691,-9999,6.864115,8.845788,5.224635,-3.621153,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,30,0.512053,1211,1272,0,6/7/2023, 15:34:07.2310,999,999,8579035059,60,103.017,19.636135,2.5313,-5.191825,6.93,17.542,0.512053,-9999,17.657174,22.825403,12.139758,-10.685644,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,OFF,30,0.463204,2275,2285,0,6/7/2023, 15:36:07.3820,999,999,147678144.7,11,86.886912,3.74337,0.3647,0.158548,1.182,0.431,0.463204,-9999,3.696631,3.812491,3.570355,0.203972,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,OFF,31,0.37812,652,777,0,6/7/2023, 15:41:00.0300,999,999,176156294.6,54,84.148684,9.210646,1.3658,-5.737524,14.476,19.771,0.37812,-9999,8.775384,12.087652,5.427432,-6.656897,-9999,-9999,-9999,-9999,-9999,-9999
22,Region 22,Unclassified regions,OFF,31,0.312029,1384,1656,0,6/7/2023, 15:42:33.7390,999,999,4255900489,196,94.65701,15.661753,1.3254,-17.172392,31.513,41.7685,0.312029,-9999,12.121369,17.066387,3.638376,-13.271086,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,OFF,31,0.448255,3279,3307,0,6/7/2023, 15:45:59.8810,999,999,843649857.3,23,92.002472,11.721803,18.9693,0.683802,3.284,62.2952,0.448255,-9999,8.652348,10.109108,7.924417,1.708858,-9999,-9999,-9999,-9999,-9999,-9999
25,Region 25,Unclassified regions,OFF,31,0.347788,3469,3576,0,6/7/2023, 15:46:26.3820,999,999,280087103.4,101,85.769657,12.17948,1.3815,-4.560627,12.384,17.1081,0.347788,-9999,11.768865,13.7433,9.499063,-4.161194,-9999,-9999,-9999,-9999,-9999,-9999
26,Region 26,Unclassified regions,OFF,31,0.508591,3675,3702,0,6/7/2023, 15:46:45.6960,999,999,231670064.2,28,85.948804,5.713369,0.9876,-1.690898,3.181,3.1416,0.508591,-9999,5.243931,6.495791,3.929095,-2.566696,-9999,-9999,-9999,-9999,-9999,-9999
27,Region 27,Unclassified regions,OFF,32,0.468025,1218,1251,0,6/7/2023, 15:49:40.7650,999,999,221209728,34,87.777999,7.193088,0.8059,-0.611625,4.027,3.2453,0.468025,-9999,5.805089,6.127424,5.383999,0.720943,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,OFF,32,0.383338,3094,3134,0,6/7/2023, 15:53:22.0310,999,999,40591433.83,36,82.078297,9.258536,1.1114,2.286409,4.725,5.2513,0.383338,-9999,9.224821,10.433613,7.903068,2.459995,-9999,-9999,-9999,-9999,-9999,-9999
30,Region 30,Unclassified regions,OFF,32,0.469024,3453,3496,0,6/7/2023, 15:54:04.2650,999,999,227885353.6,36,85.485898,7.445108,2.409,-1.67353,4.969,11.9702,0.469024,-9999,6.52589,7.590756,5.375602,-0.589406,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,OFF,33,0.655562,672,760,0,6/7/2023, 15:55:39.4730,999,999,6234875745,83,97.731804,17.222225,3.1604,-14.918652,10.295,32.5361,0.655562,-9999,15.60722,18.966564,8.083657,-10.616224,-9999,-9999,-9999,-9999,-9999,-9999
35,Region 35,Unclassified regions,OFF,33,0.376078,3663,3690,0,6/7/2023, 16:01:24.9490,999,999,59090344.44,28,83.502271,7.153227,1.1424,1.193087,3.14,3.5871,0.376078,-9999,6.711932,7.466666,5.815021,1.279188,-9999,-9999,-9999,-9999,-9999,-9999
11,Region 11,Unclassified regions,OFF,54,0.485648,3931,3959,0,6/7/2023, 16:31:45.4460,999,999,524346357,19,88.679424,6.743298,0.5249,-0.128924,3.26,1.7113,0.485648,-9999,5.135702,5.633639,4.83228,0.777089,-9999,-9999,-9999,-9999,-9999,-9999
39,Region 39,Unclassified regions,OFF,34,0.457998,345,485,0,6/7/2023, 16:32:34.6620,999,999,210063534.9,126,84.636318,11.181244,1.9733,-8.369932,16.076,31.7228,0.457998,-9999,9.480026,11.480921,5.334977,-5.521117,-9999,-9999,-9999,-9999,-9999,-9999
40,Region 40,Unclassified regions,OFF,34,0.437669,0,7,0,6/7/2023, 16:31:47.5730,999,999,76060040.93,4,88.077759,6.643498,0.4677,-0.138104,0.841,0.3934,0.437669,-9999,5.443843,5.487858,5.418935,0.061026,-9999,-9999,-9999,-9999,-9999,-9999
43,Region 43,Unclassified regions,OFF,35,0.469169,1018,1062,0,6/14/2023, 00:00:01.6160,999,999,312517970.9,39,86.227786,9.856801,8.0318,-4.046394,4.899,39.3477,0.469169,-9999,9.328652,12.052423,6.507383,-4.553357,-9999,-9999,-9999,-9999,-9999,-9999
44,Region 44,Unclassified regions,OFF,36,0.497371,2558,2600,0,6/14/2023, 00:50:41.5430,999,999,458798457.6,33,91.616068,15.817139,1.3999,-4.010422,4.584,6.4171,0.497371,-9999,12.659109,15.752808,9.602765,-6.150043,-9999,-9999,-9999,-9999,-9999,-9999
45,Region 45,Unclassified regions,OFF,36,0.356667,2533,2542,0,6/14/2023, 00:50:36.9590,999,999,454086615.5,9,96.696639,20.94033,1.5739,-1.376109,0.994,1.5644,0.356667,-9999,20.14925,21.044898,19.526317,-1.518581,-9999,-9999,-9999,-9999,-9999,-9999
46,Region 46,Unclassified regions,OFF,36,0.399408,2515,2521,0,6/14/2023, 00:50:34.8630,999,999,2410388221,7,103.592761,24.317893,1.2482,-0.691476,0.664,0.8288,0.399408,-9999,23.854546,24.237608,23.472406,-0.765202,-9999,-9999,-9999,-9999,-9999,-9999
49,Region 49,Unclassified regions,OFF,37,0.332497,3013,3072,0,6/14/2023, 02:00:29.9120,999,999,644476070.5,37,89.389601,13.970088,1.5626,-7.663076,6.547,10.2304,0.332497,-9999,13.628628,18.031309,9.123639,-8.90767,-9999,-9999,-9999,-9999,-9999,-9999
52,Region 52,Unclassified regions,OFF,38,0.358044,2219,2292,0,6/14/2023, 02:57:41.1400,999,999,91043191.87,46,83.321773,11.649063,1.2282,7.155761,7.982,9.8033,0.358044,-9999,11.102909,15.138756,6.17556,8.963195,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,OFF,55,0.527815,701,715,0,6/14/2023, 12:03:57.7160,999,999,84041315.78,15,85.648753,3.874535,0.3995,0.180759,1.539,0.6148,0.527815,-9999,3.793317,3.837687,3.726624,0.071265,-9999,-9999,-9999,-9999,-9999,-9999
53,Region 53,Unclassified regions,OFF,39,0.392426,844,870,0,6/14/2023, 12:11:27.6040,999,999,618909319.3,26,89.049607,6.346284,0.4051,-0.976475,2.849,1.1541,0.392426,-9999,4.568173,5.097026,4.045495,-1.051531,-9999,-9999,-9999,-9999,-9999,-9999
