Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
6,Region 6,Unclassified regions,211,OFF,0.455866,908,935,0,6/5/2023, 13:07:11.5040,999,999,297362766.6,21,84.898548,2.238336,0.597298,0.9562,1.5595,2.343694,0,90,-0.89664,3.374,2.247594,3.343034,2.015284,3.2263,0.455866,-9999,1.868403,2.413774,1.249786,-0.924473,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,211,OFF,0.355706,1009,1061,0,6/5/2023, 13:07:24.6970,999,999,492604939.2,42,89.38563,13.949761,0.485337,0.6885,1.743227,1.864988,0,90,-2.785935,5.918,1.030973,1.462069,2.872224,4.0745,0.355706,-9999,9.828683,10.845286,8.960002,-1.885283,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,211,OFF,0.414636,3133,3436,0,6/5/2023, 13:11:47.1680,999,999,961055805.5,193,86.582833,9.026144,0.566344,3.2999,4.338074,47.128303,0,90,-13.490323,35.316,1.482619,8.134741,20.001013,116.5403,0.414636,-9999,7.245166,12.448333,3.989324,-8.011823,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,211,OFF,0.441898,1877,2053,0,6/5/2023, 13:09:13.5810,999,999,105304035.4,65,77.720271,2.681161,0.391253,0.5109,1.048655,2.267644,0,90,-0.488141,20.776,16.652303,16.282667,8.128666,10.6143,0.441898,-9999,2.515721,4.511837,0.574701,-0.650376,-9999,-9999,-9999,-9999,-9999,-9999
19,Region 19,Unclassified regions,211,OFF,0.44333,2099,2173,0,6/5/2023, 13:09:33.7440,999,999,21203732.43,32,75.792163,3.042844,0.213991,0.517,0.647345,2.259786,0,90,-0.010441,8.601,176.27346,4.791717,1.840534,4.4465,0.44333,-9999,2.587242,2.888017,2.16516,-0.163787,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,211,OFF,0.460065,2257,2298,0,6/5/2023, 13:09:50.1400,999,999,26800155.6,23,75.270734,2.120338,0.208126,0.409,0.70708,1.12891,0,90,-0.944691,4.736,1.043394,1.658715,0.985684,1.9371,0.460065,-9999,1.805211,2.426943,1.267794,-1.155564,-9999,-9999,-9999,-9999,-9999,-9999
22,Region 22,Unclassified regions,211,OFF,0.405007,2310,2323,0,6/5/2023, 13:09:54.6560,999,999,39625838.8,14,79.546473,2.493455,0.300124,0.3863,0.922814,1.152086,0,90,-0.445974,1.505,1.012809,1.281527,0.451687,0.5814,0.405007,-9999,1.826759,2.023451,1.64393,-0.379521,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,211,OFF,0.471866,2407,2636,0,6/5/2023, 13:10:18.5270,999,999,60431356.43,172,76.313198,4.671881,0.628071,3.4841,9.706089,52.621046,0,90,-2.580862,26.776,6.516124,22.074729,16.817217,93.2894,0.471866,-9999,4.431589,7.39436,2.476734,-1.845434,-9999,-9999,-9999,-9999,-9999,-9999
35,Region 35,Unclassified regions,212,OFF,0.581381,2937,2968,0,6/5/2023, 13:18:50.0020,999,999,102218184.7,22,79.937737,2.546896,0.967475,1.1086,2.636934,2.652751,0,90,-3.363826,3.612,1.038852,1.172955,3.494518,4.0042,0.581381,-9999,2.259736,3.722027,0.736256,-2.916041,-9999,-9999,-9999,-9999,-9999,-9999
37,Region 37,Unclassified regions,212,OFF,0.533564,3257,3281,0,6/5/2023, 13:19:26.5320,999,999,62514862.66,14,80.492276,1.411756,0.460682,0.5798,0.657655,1.086026,0,90,-1.263207,2.802,1.021869,1.152758,1.290832,1.6245,0.533564,-9999,1.400296,1.926753,0.593217,-1.333536,-9999,-9999,-9999,-9999,-9999,-9999
39,Region 39,Unclassified regions,213,OFF,0.631376,788,901,0,6/5/2023, 13:30:45.1450,999,999,645250807,102,89.928921,11.585876,0.591691,2.7858,1.5433,111.528742,0,90,-6.230541,13.164,1.250135,5.525043,7.78902,36.6721,0.631376,-9999,9.9111,11.461854,7.108899,-3.29275,-9999,-9999,-9999,-9999,-9999,-9999
41,Region 41,Unclassified regions,214,OFF,0.54793,2659,2704,0,6/5/2023, 13:50:12.5660,999,999,120437748.8,46,82.953643,5.376491,0.362399,1.0502,1.796472,5.770577,0,90,-0.992856,5.267,1.922489,1.514649,1.908754,5.5314,0.54793,-9999,4.96785,5.767675,3.576098,-2.16645,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,214,OFF,0.649037,2919,2974,0,6/5/2023, 13:50:43.2390,999,999,170473293.7,55,82.07257,3.080137,0.47978,1.1721,4.891946,7.792952,0,90,-1.878071,6.378,1.62935,3.923648,3.060035,7.4755,0.649037,-9999,2.831734,3.897307,1.866522,-1.898089,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,215,OFF,0.522757,376,453,0,6/5/2023, 15:24:14.9510,999,999,465213647,71,88.302736,13.169112,0.769211,1.449,3.658305,8.187174,0,-90,6.912092,9.243,1.028605,1.608885,7.109813,13.3935,0.522757,-9999,11.58196,16.014241,7.728783,8.253047,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,216,OFF,0.561264,2224,2299,0,6/5/2023, 15:54:53.7350,999,999,45863539369,64,104.764196,21.867131,1.331045,1.3843,2.613588,2.626198,0,90,-12.023329,9.033,1,1.022373,12.023329,12.5045,0.561264,-9999,17.033087,22.998059,12.267832,-10.730227,-9999,-9999,-9999,-9999,-9999,-9999
