taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Cyprinella;Cyprinella lutrensis	Red Shiner	0.83
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Pteropus	Flying foxes	2.48
Animalia;Chordata;Aves;Charadriiformes;Stercorariidae;Stercorarius	Jaegers	0.83
Animalia;Chordata;Aves;Gruiformes;Heliornithidae;Podica;Podica senegalensis	African Finfoot	1.65
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus	Cabezon	2.48
Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae	Skates and rays	0.83
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Notropis;Notropis maculatus	Taillight Shiner	0.83
Animalia;Chordata;Aves;Pelecaniformes;Ardeidae	Bitterns	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Mazama;Mazama nemorivaga	Amazonian Brown Brocket	0.83
Animalia;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus andinus	Andean Cottontail	2.48
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Mystacoleucus	Carps	0.83
Animalia;Chordata;Aves;Galliformes;Cracidae;Oreophasis;Oreophasis derbianus	Horned Guan	1.65
Animalia;Chordata;Actinopteri;Siluriformes;Ariidae	Fork-tailed catfishes	0.83
Animalia;Chordata;NA;Testudines;Trionychidae;Cycloderma;Cycloderma aubryi	Aubry's Flapshell Turtle	1.65
Animalia;Chordata;Aves;Procellariiformes	Petrels	1.65
Animalia;Chordata;Aves;Gruiformes;Rallidae;Fulica	Coots	0.83
Animalia;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas	Atlantic wolffishes	1.65
Animalia;Chordata;Mammalia;Diprotodontia	Diprotodont marsupial	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Ziphiidae;Mesoplodon	Beaked whales	0.83
Animalia;Chordata;Aves;Passeriformes;Fringillidae;Emberiza	Eurasian Buntings	0.83
Animalia;Chordata;Actinopteri;Perciformes;Pholidae	Gunnels	0.83
Animalia;Chordata;Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis virginiana	North American Opossum	0.83
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Caesio;Caesio lunaris	Blue Fusilier	1.65
Animalia;Chordata;Chondrichthyes;Chimaeriformes	Chimaeras	1.65
Animalia;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus nipponensis	Japanese smelt	0.83
Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas hottentota	Blue-billed Teal	1.65
Animalia;Chordata;Mammalia;Rodentia;Castoridae;Castor;Castor canadensis	American Beaver	0.83
Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus;Cygnus melancoryphus	Black-necked Swan	1.65
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres pictus	Painted wrasse	0.83
Animalia;Chordata;Actinopteri;Cichliformes;Cichlidae;Sarotherodon;Sarotherodon mvogoi	Brushtooth tilapias	0.83
Animalia;Chordata;Aves;Gruiformes;Rallidae	Coots	0.83
Animalia;Chordata;Mammalia;Carnivora;Phocidae	Earless seals	1.65
Animalia;Chordata;Aves;Galliformes;Numididae;Guttera;Guttera pucherani	Crested Guineafowl	1.65
Animalia;Chordata;Mammalia;Rodentia;Castoridae;Castor	Beavers	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae;Phocoena;Phocoena phocoena	Eastern Pacific Harbor Porpoise	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Delphinidae;Orcaella;Orcaella brevirostris	Irawadi dolphin	0.83
Animalia;Chordata;Aves;Ciconiiformes;Ciconiidae;Ciconia;Ciconia nigra	Black Stork	0.83
Animalia;Chordata;Aves;Passeriformes;Timaliidae;Illadopsis	Babblers, Scimitar Babblers	0.83
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Labeo	Carps	0.83
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae	Rockfishes, Rockcods And Thornyheads	0.83
Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Ardea	Great Herons	0.83
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus	Muntjaks	0.83
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Macropharyngodon;Macropharyngodon choati	Choat's wrasse	0.83
