File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_3878,6/14/2023,12:10:22 PM,12:10:27 PM,12:11:12 PM,12:11:16 PM,12:11:24 PM,12:11:30 PM,12:13:17 PM,12:13:22 PM,12:14:02 PM,12:14:05 PM,12:16:26 PM,12:16:28 PM,00:27,27.50,OFF,Y,Seal spent a lot of time very close to the transducer which made for a lot of quick in and outs.
May_24_2023_144714_3896,6/14/2023,2:19:04 PM,2:19:13 PM,,,,,,,,,,,00:09,9.20,OFF,Y,Swim through with a small turn. Pretty low overall fish presence especialy in the file near time of seal
May_24_2023_144714_4916,6/20/2023,12:49:08 PM,12:49:23 PM,12:49:38 PM,12:50:19 PM,,,,,,,,,00:57,56.70,OFF,Y,big schools of fish early. Maybe jumping out of water based on interesting trails then not many after the seal
May_24_2023_144714_4922,6/20/2023,1:39:37 PM,1:39:49 PM,,,,,,,,,,,00:11,11.10,OFF,U,Really small faint predator at around 13:40:34.0. Could be small seal on edge of signal. I think this file doesn't have clear enough seals
May_24_2023_144714_4924,6/20/2023,2:04:48 PM,2:05:02 PM,2:05:17 PM,2:05:32 PM,,,,,,,,,00:28,28.10,OFF,Y,Swims through schools of fish
Jun_21_2023_145422,6/21/2023,10:00:17 PM,10:00:30 PM,,,,,,,,,,,00:13,12.90,OFF,Y,Single swim through
Jun_21_2023_145422_3,6/21/2023,10:22:06 PM,10:22:08 PM,,,,,,,,,,,00:03,2.50,OFF,U,Reall short time in frame and shape isn't super convincing nor is movement
Jun_21_2023_145422_8,6/21/2023,11:04:15 PM,11:04:18 PM,,,,,,,,,,,00:04,3.60,OFF,Y,"Fast swim through, not a lot of fish. Could be another very quick swim through at 23:05:10.3 but is too faint for me to be confident"
Jun_21_2023_145422_9,6/21/2023,11:13:34 PM,11:13:40 PM,11:15:06 PM,11:15:10 PM,,,,,,,,,00:10,9.80,OFF,Y,T1 is faint but T2 is a bit more convincing. 
Jun_21_2023_145422_11,6/21/2023,11:27:07 PM,11:27:32 PM,,,,,,,,,,,00:25,25.00,OFF,U,Looks too small and doesn’t move too much. Drifts a lot through the frame
Jun_21_2023_145422_13,6/21/2023,11:44:17 PM,11:44:25 PM,11:45:44 PM,11:45:50 PM,11:51:19 PM,11:51:27 PM,11:52:15 PM,11:52:20 PM,,,,,00:27,27.00,OFF,U,Swim throughs of some predator but quite faint overall and not convincing at all
Jun_21_2023_145422_14,6/21/2023,11:57:22 PM,11:57:35 PM,,,,,,,,,,,00:12,12.40,OFF,Y,Quick swim through and another blob that floats away from the tast but doesn't apppear to be more than debris
Jun_21_2023_145422_17,6/21/2023,12:22:30 AM,12:22:34 AM,12:22:58 AM,12:23:12 AM,,,,,,,,,00:19,18.91,OFF,Y,Definitely appears to be some foraging fish disperse
Jun_21_2023_145422_29,6/21/2023,1:59:08 AM,1:59:23 AM,,,,,,,,,,,00:15,15.20,OFF,Y,Fish disperse when seal swims into them. Faint second object that looks too small with weird longer light line around 01:59:35 
Jun_21_2023_145422_35,6/21/2023,2:41:39 AM,2:42:17 AM,2:46:56 AM,2:47:31 AM,,,,,,,,,01:14,73.60,OFF,Y,First one is more convincing but the second is a smaller object that more floats and turns once. Fish react initially then not as much toward the end of it. Much smaller
Jun_21_2023_145422_36,6/21/2023,2:54:38 AM,2:54:46 AM,,,,,,,,,,,00:08,8.10,OFF,Y,Fast swim into school of fish
Jun_21_2023_145422_39,6/21/2023,3:12:42 AM,3:12:53 AM,3:13:36 AM,3:13:42 AM,,,,,,,,,00:16,15.90,OFF,Y,Very fast swim throughs
Jun_21_2023_145422_40,6/21/2023,3:25:07 AM,3:25:14 AM,,,,,,,,,,,00:07,6.90,OFF,Y,fast swim through. Faint but size and speed looks like seal to me
,,,,,,,,,,,,,,00:00,0.00,OFF,,
Not labeled as seals present,,,,,,,,,,,,,,,0.00,OFF,,
