"Region_ID","Region_name","Region_class","Process_ID","Height_mean","Ping_S","Ping_E","Dist_M","Date_M","Time_M","Lat_M","Lon_M","Standard_deviation","Num_targets","TS_mean","Target_range_mean","Speed_2D_mean_unsmoothed","Speed_4D_mean_unsmoothed","Speed_2D_max_unsmoothed","Speed_4D_max_unsmoothed","Direction_horizontal","Direction_vertical","Fish_track_change_in_range","Time_in_beam","Tortuosity_2D","Tortuosity_3D","Distance_2D_unsmoothed","Distance_3D_unsmoothed","Thickness_mean","Exclude_below_line_range_mean","Target_depth_mean","Target_depth_max","Target_depth_min","Fish_track_change_in_depth","Region_bottom_altitude_min","Region_bottom_altitude_max","Region_bottom_altitude_mean","Region_top_altitude_min","Region_top_altitude_max","Region_top_altitude_mean"
60,"Region 60","Unclassified regions",208,0.526066,892,967,0,20230605," 12:34:43.6640",999,999,72440542.7921964,68,83.643562,7.247919,0.660123,4.4468,1.281841,122.789595,0,90,-5.708744,8.648,1,5.018356,5.708744,38.4557,0.526066,-9999,5.945301,7.815712,4.893683,-2.436165,-9999,-9999,-9999,-9999,-9999,-9999
64,"Region 64","Unclassified regions",208,0.549471,1106,1167,0,20230605," 12:35:07.4680",999,999,591340155.272393,53,88.623917,11.216561,0.902985,3.6879,7.619776,33.808756,0,90,-5.050543,7.116,1.272268,3.534792,6.425643,26.2434,0.549471,-9999,10.387589,12.117885,8.631455,-2.793735,-9999,-9999,-9999,-9999,-9999,-9999
66,"Region 66","Unclassified regions",208,0.398738,1196,1508,0,20230605," 12:35:32.5990",999,999,620995484.778315,174,87.485378,7.091677,0.393012,1.8824,3.151396,52.226092,0,90,-6.501943,36.007,2.176454,9.620177,14.151181,67.7796,0.398738,-9999,6.826544,10.887793,3.732465,-6.955938,-9999,-9999,-9999,-9999,-9999,-9999
67,"Region 67","Unclassified regions",208,0.366248,1588,1677,0,20230605," 12:36:04.7130",999,999,214899331.29612,70,85.296111,4.778767,0.492937,1.1736,5.551968,8.772993,0,90,-0.872144,10.253,5.79501,11.604166,5.054083,12.0334,0.366248,-9999,4.73299,5.175244,4.268507,-0.73917,-9999,-9999,-9999,-9999,-9999,-9999
68,"Region 68","Unclassified regions",208,0.49863,1736,1792,0,20230605," 12:36:19.7570",999,999,293723593.202,57,85.999063,4.477687,0.387903,0.898,1.566788,3.656745,0,-90,-0.895212,6.396,2.771442,2.979239,2.481027,5.7436,0.49863,-9999,4.136751,4.898821,3.304224,0.052814,-9999,-9999,-9999,-9999,-9999,-9999
69,"Region 69","Unclassified regions",208,0.423572,2982,3000,0,20230605," 12:38:41.0870",999,999,10588300.3794725,18,77.897581,3.926819,0.268036,0.4148,0.499457,0.672411,0,-90,0.550663,2.071,1.008064,1.066055,0.555103,0.8591,0.423572,-9999,3.785763,4.023164,3.637547,0.385617,-9999,-9999,-9999,-9999,-9999,-9999
71,"Region 71","Unclassified regions",208,0.529588,3489,3544,0,20230605," 12:39:41.2720",999,999,378265235.703011,53,84.999474,5.000254,0.453445,1.4965,2.263081,25.738487,0,90,0.056869,6.294,50.185287,3.44553,2.853984,9.4189,0.529588,-9999,4.377014,5.249949,3.691742,-1.23107,-9999,-9999,-9999,-9999,-9999,-9999
74,"Region 74","Unclassified regions",209,0.446104,2095,2185,0,20230605," 12:53:39.7060",999,999,63404378.6179612,73,80.215659,6.343311,0.617271,1.4652,4.830236,6.975364,0,-90,6.085917,10.542,1.069235,1.626687,6.507273,15.4461,0.446104,-9999,5.818993,8.052821,3.084685,4.828126,-9999,-9999,-9999,-9999,-9999,-9999
77,"Region 77","Unclassified regions",209,0.458617,2163,2191,0,20230605," 12:53:44.0130",999,999,14828467.0006787,29,77.8857,6.958062,0.814985,0.8613,1.271817,1.420961,0,90,-2.672337,3.279,1,1.009906,2.672337,2.8243,0.458617,-9999,5.001483,5.746779,4.377053,-1.369727,-9999,-9999,-9999,-9999,-9999,-9999
93,"Region 93","Unclassified regions",209,0.408877,2344,2914,0,20230605," 12:54:36.1040",999,999,875739928.808907,336,87.611972,7.51099,0.438638,2.125,6.562848,106.236076,0,90,-6.451383,65.992,4.486888,19.990261,28.94663,140.2355,0.408877,-9999,7.034499,10.007774,3.004955,-5.105333,-9999,-9999,-9999,-9999,-9999,-9999
