Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
4,Region 4,Unclassified regions,315,ON,0.244497,95,143,0,20230615, 05:34:44.9260,999,999,68467305152,34,109.95609,25.376754,0.323814,3.5111,0.902227,40.836935,0,-90,-1.743275,5.599,1.040015,2.011174,1.813032,19.6586,0.244497,-9999,24.409755,24.9498,23.031795,1.363331,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,316,ON,0.318601,4035,4122,0,20230615, 05:59:11.1880,999,999,706098371.5,57,88.921735,13.99855,0.299864,1.4514,2.618901,13.73269,0,90,-1.047216,10.009,2.86602,2.043492,3.001341,14.5268,0.318601,-9999,12.91804,15.017713,11.427251,-3.519608,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,317,ON,0.286,2127,2293,0,20230615, 06:11:45.1810,999,999,265802923.1,36,86.992348,14.077813,0.178621,0.5813,1.046319,3.444165,0,90,0.231528,19.291,14.882836,1.321323,3.445786,11.2148,0.286,-9999,12.564074,14.474544,11.516923,-2.849855,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,328,ON,0.299735,3381,3432,0,20230620, 17:49:17.0580,999,999,17234214.05,25,77.898841,9.381024,0.230048,1.4484,0.492099,3.034152,0,90,-0.378244,5.812,3.534854,1.03851,1.337039,8.4184,0.299735,-9999,9.018205,9.450113,7.998839,-1.407249,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,329,ON,0.294798,961,1005,0,20230620, 18:18:57.8180,999,999,87297749.84,23,86.588316,15.532325,0.129914,1.0079,0.454575,2.388213,0,-90,-0.56871,5.159,1.178503,1.021849,0.670227,5.1998,0.294798,-9999,12.969093,14.064481,11.921969,2.142512,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,330,ON,0.260801,2603,2840,0,20230620, 20:27:28.9780,999,999,4506104075,77,92.990345,13.528054,0.360128,0.9935,1.345491,11.879349,0,-90,9.503289,27.349,1.036394,2.788405,9.849151,27.1726,0.260801,-9999,11.50648,17.784424,9.652206,7.502216,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,331,ON,0.467735,3868,4013,0,20230621, 05:19:37.8590,999,999,888776233.3,136,92.42619,16.644319,0.476613,1.5793,1.765179,12.655723,0,-90,0.214907,16.61,36.837043,1.035984,7.916544,26.2315,0.467735,-9999,14.749971,15.721802,13.608685,0.159923,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,332,ON,0.363579,689,805,0,20230621, 06:22:24.0250,999,999,167275973.6,80,82.905859,14.38044,0.596725,4.3468,2.566547,149.986316,0,90,-3.576116,13.433,2.241482,15.352663,8.015801,58.3904,0.363579,-9999,12.830246,14.353708,10.849662,-2.090265,-9999,-9999,-9999,-9999,-9999,-9999
19,Region 19,Unclassified regions,333,ON,0.299672,3485,3596,0,20230621, 11:05:36.4030,999,999,317114760.4,29,85.642307,10.017073,0.153775,0.3889,0.498178,0.822493,0,90,-0.697499,12.721,2.804552,1.155867,1.956173,4.9473,0.299672,-9999,8.628466,10.253811,7.610804,-2.631732,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,90,ON,0.58736,3601,3745,0,20230531, 00:14:16.4460,999,999,539660146.6,141,87.421509,12.846239,0.820007,1.8768,4.645123,19.999773,0,-90,1.616875,16.593,8.415226,1.386634,13.606368,31.1425,0.58736,-9999,10.991854,12.479982,10.274399,0.970457,-9999,-9999,-9999,-9999,-9999,-9999
