taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Megaptera;Megaptera novaeangliae	Hump Whale	0.81
Animalia;Chordata;Mammalia;Chiroptera;Hipposideridae;Hipposideros	Roundleaf bat	0.81
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus	Rabbitfishes	1.63
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Bero;Bero elegans	Elegant sculpin	0.81
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos decagrammus	Kelp greenling	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus	Alaska pollock	0.81
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	Anchovy	0.81
Animalia;Chordata;Mammalia;Primates;Cercopithecidae	Old World monkeys	0.81
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Procyon;Procyon lotor	Common Raccoon	0.81
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae	Minnows	0.81
Animalia;Chordata;Actinopteri;Uranoscopiformes;Cheimarrichthyidae;Cheimarrichthys;Cheimarrichthys fosteri	Shark bully	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes steindachneri	Yellow body rockfish	0.81
Animalia;Chordata;Mammalia;Rodentia	Rodent	0.81
Animalia;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae;Hexanchus;Hexanchus griseus	Bluntnose sixgill	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Opisthocentrus;Opisthocentrus tenuis	Pricklebacks	0.81
