taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Chromista;NA;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium;Amphidinium longum,1,1
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Frontoniidae;Frontonia;Frontonia atra,16,186
Chromista;Perkinsozoa;NA;Perkinsida;Perkinsidae;Parvilucifera;Parvilucifera rostrata,6,6
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp. TCS-2004,15,15
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus irregularis,34,92
Chromista;Cercozoa;NA;Glissomonadida;Pansomonadidae;Aurigamonas;Aurigamonas solis,4,13
Chromista;Ciliophora;Litostomatea;Pleurostomatida;Protolitonotidae;Protolitonotus;Protolitonotus magnus,2,2
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella sp.,11,124
Chromista;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria,2,5
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella sp. 119,12,12
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sp. DTO 356-D6,8,103
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Insolitispirillum;Insolitispirillum peregrinum,2,2
Plantae;Streptophyta;Jungermanniopsida;Metzgeriales;Aneuraceae;Verdoornia;Verdoornia succulenta,1,1
Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Pelagiidae;Chrysaora,2,2
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Diadesmidaceae;Luticola;Luticola goeppertiana,1,1
Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aoroides;Aoroides columbiae,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae,6,24
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia,17,17
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Mychonastaceae;Mychonastes;Mychonastes sp. DB6-29,1,1
Chromista;NA;Bigyra;Opalinata;Proteromonadidae;Karotomorpha;Karotomorpha sp. RAPI1,7,10
Chromista;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Undatella;Undatella sp. p446,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Cladochytriales;Nowakowskiellaceae;Nowakowskiella;Nowakowskiella elegans,5,33
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Asteroplanus;Asteroplanus karianus,8,8
Fungi;Mucoromycota;Mucoromycetes;Mucorales,5,732
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter celticus,1,1
Plantae;Streptophyta;Magnoliopsida;Caryophyllales;Chenopodiaceae;Salicornia,1,1
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;NA;Thraustochytriidae sp. SEK 700,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita muscaria,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus haemolyticus,5,5
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema sp. NIES-16,2,2
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Tor,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Celeribacter,1,1
Plantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Rumex,2,2
Chromista;NA;Dinophyceae;Blastodiniales;NA;Blastodinium,8,8
Animalia;Arthropoda;Insecta;Diptera;Ulidiidae;Chaetopsis,1,1
Chromista;Cercozoa;Chlorarachniophyceae,7,7
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. AAA795-J21,4,4
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros,10,10
Chromista;Haptophyta;NA;Prymnesiales;NA;Chrysocampanula;Chrysocampanula spinifera,9,9
Animalia;Annelida;Polychaeta;NA;Maldanidae,6,6
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Starmerella;Starmerella geochares,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus sp. RCC4810,9,9
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;[Candida] germanica,4,67
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Teunia;Teunia helanensis,1,1
Animalia;Arthropoda;Hexanauplia;Calanoida;Pseudocyclopidae;Pseudocyclops;Pseudocyclops sp. Japan-RJH-2004,4,4
Chromista;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora sp. PP-2011,1,1
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Planeticovorticella;Planeticovorticella sp. HN Z2,1,1
Plantae;Streptophyta;Magnoliopsida;Malpighiales,2,2
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia dermatis,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae,1,1
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Extraholosticha;Extraholosticha sp.,1,1
Fungi;Ascomycota;Saccharomycetes,3,3
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium pulex,12,12
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sp. FL3,1,1
Plantae;Rhodophyta;Florideophyceae;Gigartinales;Kallymeniaceae;Croisettea;Croisettea tasmanica,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Calamagrostis,1,1
Plantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Goldbachia;Goldbachia laevigata,1,1
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Folliculinidae;Folliculina;Folliculina WWS-2008,7,7
Animalia;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Ceratotrochus;Ceratotrochus magnaghii,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Amylibacter;Amylibacter ulvae,6,6
Chromista;NA;Polycystinea;Collodaria;Collosphaeridae;Thalassicolla;Thalassicolla nucleata,1,1
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquaspirillum,1,1
Bacteria;Atribacterota;Atribacteria;Atribacterales;Atribacteraceae;Atribacter;Atribacter laminatus,4,4
Chromista;Ciliophora;Litostomatea;Haptorida;Didiniidae,2,2
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa minima,19,19
Chromista;NA;Chrysophyceae;NA;NA;NA;Spumella-like flagellate JBAF35,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus dobrogensis,1,1
Fungi;Ascomycota;NA;NA;NA;Orbimyces;Orbimyces spectabilis,1,1
Chromista;NA;Dinophyceae;Peridiniales,8,8
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Thalassoglobus;Thalassoglobus polymorphus,2,2
Plantae;Rhodophyta;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema,6,6
Animalia;Echinodermata;Ophiuroidea;Amphilepidida,3,3
Protozoa;Euglenozoa;Kinetoplastea;Eubodonida;Bodonidae;Bodo;Bodo saltans,5,107
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;Botryobasidium subcoronatum,1,1
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Cephaloidophoridae;Cephaloidophora,2,2
Protozoa;NA;Ichthyosporea;Ichthyophonida,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Dichotomanthes;Dichotomanthes tristaniicarpa,2,6
Chromista;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha minuta,8,8
Plantae;Streptophyta;Magnoliopsida;Poales;Juncaceae,2,2
Animalia;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Dipsastraea;Dipsastraea favus,2,2
Plantae;Streptophyta;Magnoliopsida;Apiales;Araliaceae;Panax;Panax ginseng,1,1
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina;Taphrina vestergrenii,1,1
Animalia;Platyhelminthes;Monogenea,11,18
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella,12,12
Fungi;Ascomycota;Sordariomycetes,3,3
Chromista;NA;Cryptophyceae;NA;NA;NA;Cryptophyta sp. CR-MAL04,19,19
Plantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Bolanthus;Bolanthus mevlanae,1,1
Protozoa;NA;Bigyra;Nanomonadea;NA;Incisomonas;Incisomonas marina,5,5
Plantae;Streptophyta;Charophyceae;Charales;Characeae,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Pisum;Pisum sativum,3,3
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter;Psychrobacter meningitidis,3,3
Plantae;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae;Mycetia;Mycetia javanica,1,1
Plantae;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Norrissia;Norrissia setchellii,1,1
Chromista;Oomycota;NA;NA;NA;Haptoglossa,7,96
Chromista;NA;Dinophyceae;Syndiniales;Ellobiopsidae;Thalassomyces,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens,1,1
Plantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae,1,1
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;Desulfuromonas svalbardensis,2,2
Animalia;Platyhelminthes;Monogenea;Dactylogyridea;Ancyrocephalidae,1,1
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae,9,9
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;NA;NA;Thiotrichales bacterium,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris,19,148
Animalia;Porifera;Demospongiae;Haplosclerida;Chalinidae;Haliclona;Haliclona sp. OGL2003,3,3
Protozoa;Evosea,6,221
Chromista;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota mammillata,2,2
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis mosseae,17,54
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Coix;Coix lacryma-jobi,3,3
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia cuspidata,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Mychonastaceae;Mychonastes;Mychonastes jurisii,3,3
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium,4,4
Animalia;Arthropoda;Malacostraca;Isopoda;Gnathiidae;Paragnathia;Paragnathia formica,1,1
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Diversisporaceae;Desertispora;Desertispora omanana,1,1
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoluna;Desulfoluna spongiiphila,3,3
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae,22,314
Chromista;Bacillariophyta;Coscinodiscophyceae;Paraliales;Paraliaceae;Paralia;Paralia sol,4,4
Animalia;Arthropoda;Insecta;Orthoptera;Acrididae,3,3
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum sipadanense,3,3
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes parabalteatus,3,3
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella,9,463
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis,1,1
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytella;Mytella brasiliensis,1,1
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia sympodialis,18,1923
Animalia;Rotifera;Eurotatoria;Ploima;Lepadellidae;Squatinella;Squatinella bifurca,4,23
Plantae;Streptophyta;Magnoliopsida;Brassicales;Cleomaceae;Cleomella,3,14
Plantae;Chlorophyta;Trebouxiophyceae;Watanabeales;NA;Jaagichlorella;Jaagichlorella roystonensis,2,4
Plantae;Rhodophyta;Florideophyceae;Plocamiales;Plocamiaceae;Plocamium,2,2
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica magellanica,3,12
Protozoa;NA;Choanoflagellata;NA;NA;NA;Choanoflagellida sp. SL117#1,4,8
Chromista;NA;Bigyra,7,7
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum,6,6
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium sp. JD-2012,12,12
Fungi;Basidiomycota;Agaricomycetes;Agaricales;NA;Lactocollybia;Lactocollybia epia,1,1
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellopsidae;Stenosemella;Stenosemella ventricosa,1,1
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium stocchinoi,19,19
Plantae;Streptophyta;Magnoliopsida;Liliales;Liliaceae,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Haslea;Haslea arculata,1,1
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp.,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae,4,5
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Psorospermium;Psorospermium haeckeli,1,1
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Lolium;Lolium rigidum,7,27
Plantae;Chlorophyta;Ulvophyceae;Cladophorales;Cladophoraceae,6,15
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. oral clone CA002,4,4
Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae,4,4
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium,19,19
Plantae;Rhodophyta;Florideophyceae;Batrachospermales;Batrachospermaceae;Nothocladus;Nothocladus nodosus,4,4
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. 0151,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clitocybaceae;Clitocybe;Clitocybe sp. 1 PA-2015,3,8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;Brucella suis,2,2
Plantae;Rhodophyta;Florideophyceae;Gigartinales;Phyllophoraceae,2,2
Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;Motacilla alba,2,2
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus,1,1
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Leonella;Leonella granifera,16,16
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,4,4
Fungi;Ascomycota;Sordariomycetes;Hypocreales;NA;Acremonium;Acremonium sp.,2,52
Fungi;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Kondoaceae;Kondoa,1,1
Animalia;Arthropoda;Ostracoda;Podocopida;Schizocytheridae;Neomonoceratina;Neomonoceratina sp. QY-2003,3,3
Fungi;Ascomycota;Taphrinomycetes;Taphrinales,1,1
Plantae;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus atmophyticus,3,8
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tithonia;Tithonia diversifolia,10,10
Animalia;Ctenophora;Nuda;Beroida;Beroidae;Beroe,10,20
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium conicum,3,3
Protozoa;NA;Ichthyosporea;Dermocystida;NA;Amphibiocystidium;Amphibiocystidium sp. CI07,1,1
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA;Verrucomicrobiaceae bacterium,22,22
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Codonella;Codonella aspera,2,2
Fungi;Chytridiomycota;Chytridiomycetes,112,5925
Protozoa;Euglenozoa;Euglenida;NA;NA;Rapaza;Rapaza viridis,6,6
Animalia;Rotifera;Eurotatoria;Ploima;Ituridae;Itura;Itura aurita,2,19
Animalia;Rotifera;Eurotatoria;Ploima;Synchaetidae;Synchaeta;Synchaeta tremuloida,7,7
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Rhynchomolgidae;Critomolgus;Critomolgus sp. 1 New Caledonia-RJH-2004,1,1
Protozoa;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Diaphanoeca;Diaphanoeca grandis,7,7
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma caribbica,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira varians,4,13
Animalia;Cnidaria;Myxozoa;Bivalvulida;Sphaeromyxidae;Sphaeromyxa;Sphaeromyxa balbianii,1,1
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;Sarcocystis attenuati,7,7
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Pelagostrobilidium;Pelagostrobilidium minutum,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Senegalia,1,1
Animalia;Platyhelminthes;Trematoda;Opisthorchiida;Cryptogonimidae;Timoniella,1,1
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella flava,8,10
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp. ex Carcinus maenas,34,34
Chromista;Ciliophora;Heterotrichea,1,1
Plantae;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidioschyzon;Cyanidioschyzon sp. Y16,1,1
Chromista;Apicomplexa;Conoidasida,12,12
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Terramycetaceae,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica,1,1
Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida pinnigera,1,1
Chromista;NA;Raphidophyceae;NA;NA;Haramonas;Haramonas dimorpha,2,2
Plantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix,14,14
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Phragmidiaceae;Triphragmium;Triphragmium ulmariae,1,1
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Septoglomus,3,3
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae,4,4
Animalia;Arthropoda;Insecta;Coleoptera;Cleridae;Isohydnocera;Isohydnocera aegra,6,9
Animalia;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus haemaphysaloides,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Neochloridaceae;Characiopodium,7,36
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;Adglutina;Adglutina synurophila,1,1
Animalia;Chordata;Thaliacea;Salpida;Salpidae;Cyclosalpa,1,1
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae,80,1946
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Trithigmostoma;Trithigmostoma steini,4,4
Protozoa;Euglenozoa;Kinetoplastea;Parabodonida;NA;Parabodo;Parabodo caudatus,1,1
Chromista;NA;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Dictyopteris pacifica,1,1
Animalia;Cnidaria;Anthozoa;Zoantharia;Epizoanthidae;Epizoanthus,1,1
Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. D2(2007b),2,2
Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium,5,5
Chromista;Foraminifera;NA;Rotaliida;Elphidiidae;Elphidiella;Elphidiella hannai,5,5
Animalia;Arthropoda;Ostracoda;Podocopida;Psammocytheridae;Psammocythere;Psammocythere oviformis,1,1
Animalia;Arthropoda;Branchiopoda;Anostraca;Artemiidae;Artemia;Artemia urmiana,1,1
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Stentoridae;Stentor;Stentor sp. FG-2015,4,5
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Epistylidae,21,2106
Chromista;Ciliophora;Colpodea;Colpodida;Colpodidae,12,776
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Densocarpa;Densocarpa shanorii,1,1
Animalia;Gastrotricha;NA;Chaetonotida;Chaetonotidae;Chaetonotus,6,124
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,8,8
Protozoa;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;Schizoplasmodium;Schizoplasmodium cavostelioides,2,2
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema,6,6
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Senecio;Senecio doria,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Callithamniaceae;Diapse;Diapse ptilota,1,1
Fungi;Zoopagomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium;Smittium angustum,1,1
Chromista;Bacillariophyta;Mediophyceae;NA;NA;NA;Mediophyceae sp.,1,1
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniastraceae;Calyptospora;Calyptospora goeppertiana,1,1
Fungi;Mucoromycota;Glomeromycetes;Paraglomerales;Pervetustaceae;Pervetustus,6,8
Animalia;Arthropoda;Malacostraca;Decapoda;Pasiphaeidae;Leptochela;Leptochela carinata,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Candidatus Berkiella;Candidatus Berkiella cookevillensis,1,1
Chromista;Cercozoa;NA;Glissomonadida,4,5
Animalia;Chordata;Ascidiacea;Aplousobranchia;Clavelinidae;Clavelina;Clavelina lepadiformis,4,27
Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;Cystobasidium calyptogenae,1,1
Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Lomentariaceae;Semnocarpa;Semnocarpa minuta,1,1
Plantae;Rhodophyta;Florideophyceae;Gracilariales;Gracilariaceae;Gracilariopsis,1,1
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes,38,38
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/160,1,1
Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone infundibuliformis,2,2
Plantae;Rhodophyta;Florideophyceae;Batrachospermales;NA;Balliopsis;Balliopsis prieurii,2,2
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Brachybasidiaceae;Meira;Meira miltonrushii,11,525
Animalia;Arthropoda;Hexanauplia;Calanoida;Calanidae,10,10
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium;Haliangium ochraceum,7,7
Animalia;Annelida;Polychaeta;Phyllodocida;Syllidae;Exogone;Exogone africana,1,1
Plantae;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas,2,4
Chromista;NA;Dinophyceae;Amphidiniales;Amphidiniaceae;Amphidinium,2,2
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Coelastrella,5,34
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Spiniferites;Spiniferites mirabilis,8,8
Fungi;Basidiomycota;Cystobasidiomycetes,5,81
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Stephanocyclus;Stephanocyclus meneghinianus,32,108
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis,4,4
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Mycosphaerella;Mycosphaerella milleri,2,2
Animalia;Cnidaria;Anthozoa;Alcyonacea;Primnoidae,6,6
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Gilbertiodendron;Gilbertiodendron grandistipulatum,3,3
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Laboea;Laboea strobila,2,2
Chromista;Ciliophora;Colpodea;Colpodida;Colpodidae;Bresslaua;Bresslaua sp.,1,1
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Xylodon;Xylodon rimosissimus,39,9419
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter indicus,3,35
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora lindneri,1,1
Plantae;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis,21,21
Animalia;Arthropoda;Arachnida;Trombidiformes;Tarsonemidae;NA;Tarsonemidae gen. sp. AD1063,1,1
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales,6,30
Animalia;Mollusca;Bivalvia;Venerida;Vesicomyidae;Archivesica;Archivesica marissinica,6,6
Protozoa;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia;Nuclearia sp. B3,9,9
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;Inocybe sp. 6 RT-2012,1,1
Plantae;Chlorophyta;Trebouxiophyceae;NA;NA;Choricystis;Choricystis parasitica,2,2
Chromista;Endomyxa;Phytomyxea;Plasmodiophorida;Plasmodiophoridae;Woronina;Woronina pythii,11,112
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sp. LRAFG7,1,1
Chromista;Oomycota,17,17
Plantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Luffa,2,2
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Elasticomyces;Elasticomyces elasticus,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium,27,27
