taxonomic_path	common_name	% samples positive in project
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax acuta	Cryptomonads	46.34
Animalia;Rotifera;Eurotatoria;Ploima;Trichocercidae;Trichocerca;Trichocerca mucosa	Rotifers	39.02
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Apicoporus;Apicoporus parvidiaboli	Dinoflagellates	7.32
Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Sinocalanus	Calanoid Copepods	22.76
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium claudicans	Dinoflagellates	15.45
Animalia;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus	Calanoid Copepods	65.04
Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae	Scallops	34.15
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium fundyense	Dinoflagellates	47.15
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae	Diatoms	71.54
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	Diatoms	63.41
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae	Dinoflagellates	93.5
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros contortus	Diatoms	36.59
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans	Dinoflagellates	1.63
Plantae;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis	Green algae	20.33
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp. HZ-2005	Dinoflagellates	37.4
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella sp. 119	Diatoms	75.61
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales	Green algae	8.94
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium andersonii	Dinoflagellates	30.08
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	Diatoms	65.04
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella	Diatoms	41.46
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp. ex Carcinus maenas	Dinoflagellates	25.2
Chromista;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha fibula	Brown algae	4.07
Chromista;Bacillariophyta;Bacillariophyceae;Mastogloiales;Achnanthaceae;Achnanthes	Diatoms	7.32
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae	Dinoflagellates	10.57
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;Coxiella endosymbiont of Dermacentor marginatus	Γ-proteobacteria	3.25
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Medicago;Medicago arabica	Burclover	39.02
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Proboscidactylidae;Proboscidactyla;Proboscidactyla flavicirrata	Hydroid	8.94
Chromista;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp.	Oblongichytrium sp.	60.98
Plantae;Rhodophyta;Florideophyceae;Gracilariales;Gracilariaceae	Red algae	14.63
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Pelagostrobilidium;Pelagostrobilidium neptuni	Ciliates	30.89
Chromista;NA;Dictyochophyceae;Florenciellales	Chromists	11.38
Chromista;Haptophyta;NA;Isochrysidales	Haptophytes	7.32
Chromista;NA;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis	Chromists	8.13
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pseudoruegeria;Pseudoruegeria sp.	Α-proteobacteria	1.63
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Plagioselmis	Chromists	55.28
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Lauderiaceae;Lauderia	Diatoms	17.89
