taxonomic_path	common_name	% samples positive in project
Chromista;NA;Dinophyceae;Gonyaulacales;Goniodomataceae;Gambierdiscus	Dinoflagellates	40.65
Chromista;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Holosticha;Holosticha cf. heterofoissneri	""	1.63
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema pseudocostatum	Diatoms	69.11
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella gelidii	Γ-proteobacteria	8.94
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium	Dinoflagellates	88.62
Protozoa;Euglenozoa;Euglenida;Euglenales;Euglenaceae;Euglenaria;Euglenaria anabaena	""	0.81
Animalia;Rotifera;Eurotatoria;Ploima;Gastropidae;Ascomorpha;Ascomorpha ecaudis	Rotifers	29.27
Chromista;NA;Chrysophyceae;Hydrurales;Hydruraceae;Hydrurus	Golden-brown algae	22.76
Chromista;Ciliophora;Litostomatea;Haptorida;Lacrymariidae;Lacrymaria;Lacrymaria sp. FG-2017a	""	3.25
Plantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae;Quercus;Quercus robur	""	1.63
Chromista;Bacillariophyta;Mediophyceae;Anaulales;Anaulaceae;Eunotogramma;Eunotogramma laevis	Diatoms	82.11
Animalia;Cnidaria;Hydrozoa;Leptothecata;Mitrocomidae;Mitrocomella	""	8.94
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Stephanocyclus;Stephanocyclus meneghinianus	""	17.89
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma sp. FTL61	Dinoflagellates	7.32
Chromista;NA;Dinophyceae;Gymnodiniales	Dinoflagellates	21.95
Chromista;NA;Raphidophyceae;Chattonellales;Chattonellaceae	""	32.52
Eukaryota	""	100.0
Chromista;Ciliophora;Phyllopharyngea	Ciliates	72.36
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;NA;NA;Malasseziales sp.	Basidio's	52.03
Animalia;Ctenophora;Nuda;Beroida;Beroidae;Beroe;Beroe forskalii	""	2.44
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	Α-proteobacteria	47.97
Plantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Iochroma;Iochroma ayabacense	""	1.63
